vin,avg_battery,battery_std,min_battery,max_battery,total_records,avg_latitude,avg_longitude
MD9EMHDL23H217174,98.5,5.29,71.89,100.0,38,13.03,77.62
MD9EMHDL23H217178,74.72,21.03,26.63,100.0,156,12.59,78.52
MD9EMHDL23H217183,78.88,23.75,18.46,100.0,167,28.65,77.45
MD9EMHDL23H217188,79.59,26.63,0.11,100.0,161,28.6,77.03
MD9EMHDL23H217191,74.11,23.73,17.18,100.0,140,12.6,78.49
MD9EMHDL23H217197,68.48,30.03,4.47,100.0,171,19.22,73.02
MD9EMHDL23H217204,60.86,28.33,15.14,100.0,130,13.0,77.54
MD9EMHDL23H217207,92.62,15.51,33.45,100.0,168,28.61,77.32
MD9EMHDL23H217209,90.23,3.95,81.69,94.45,106,13.02,77.59
MD9EMHDL23H217219,86.54,17.53,26.9,100.0,158,12.94,80.16
MD9EMHDL23H217226,93.63,3.52,89.1,97.71,114,17.49,78.47
MD9EMHDL23H217227,97.57,13.26,26.15,100.0,91,16.31,80.46
MD9EMHDL23H217233,75.67,24.41,18.99,100.0,152,23.07,72.57
MD9EMHDL23H217247,81.24,14.71,35.41,100.0,142,17.41,78.56
MD9EMHDL23J217007,79.72,13.31,60.49,95.34,106,28.66,77.15
MD9EMHDL23J217011,78.44,21.88,11.51,100.0,140,12.97,79.96
MD9EMHDL23J217013,82.39,22.24,28.28,100.0,151,28.52,77.3
MD9EMHDL23J217015,38.1,0.0,38.1,38.1,153,21.08,72.89
MD9EMHDL23J217017,83.1,15.36,48.8,100.0,151,17.18,78.65
MD9EMHDL23J217018,78.03,9.04,70.94,95.79,101,17.49,78.37
MD9EMHDL23J217021,68.31,22.55,18.12,100.0,151,28.62,77.1
MD9EMHDL23J217023,84.98,20.28,42.57,100.0,110,28.8,77.08
MD9EMHDL23J217025,74.02,29.88,11.34,100.0,134,28.51,77.3
MD9EMHDL23J217029,93.5,11.65,44.84,100.0,189,28.73,77.2
MD9EMHDL23J217031,77.68,21.48,14.22,100.0,173,14.89,79.39
MD9EMHDL23J217039,69.84,27.73,14.67,100.0,192,17.32,78.42
